Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,-0.000181569,26342.79104,1764967,133.29,-0.013879511,132.3925,133.1578,134.0595,-0.005417603,-0.007828306,-0.003728382
AAPL,-0.000131315,14582.0303,962414,133.87,-0.009860312,132.888,132.2062,133.246225,-0.001038468,0.003145843,-0.003922062
AAPL,-4.11E-05,25208.12121,1663736,128.275,-0.002455662,129.78025,131.5076,132.304975,-0.018223112,-0.032622449,-0.01344186
AAPL,-0.000108261,11907.83333,785917,129.42,-0.01039252,128.865,127.8616,130.370025,-0.002359058,0.01002803,-0.007908068
AAPL,0.00018614,16602.9403,1112397,127.83,0.014707033,127.99375,128.609,129.04065,0.007849993,0.00231399,-0.003422759
AAPL,2.05E-05,11537.83333,761497,130.595,-0.002603469,130.277,129.3923,128.859325,0.000224522,0.007888414,0.00452606
AAPL,-0.000133058,16706.57576,1102634,128.34,-0.010908524,129.13275,129.8062,129.3799,-0.015019428,-0.015201123,-0.001369417
AAPL,0.000214493,18816.29851,1260692,123.455,0.018994775,123.73525,125.9675,128.692875,0.016682797,-0.002718955,-0.012261557
AAPL,3.49E-05,17509.5493,1243178,123.54,-0.00906589,124.43525,125.2348,126.668425,-0.014624072,-0.020089464,-0.016960028
AAPL,-0.000105817,17447.06061,1151506,125.525,-0.004620594,124.37975,123.3301,124.33495,0.008709215,0.015362024,0.000512527
AAPL,7.03E-05,13216.35821,885496,126.425,0.008582163,126.14925,125.5449,124.451075,0.010198237,0.013167401,0.007621067
AAPL,5.31E-05,8658.275362,597421,125.93,0.001667593,126.5125,126.9755,125.6012,-0.006398577,-0.010820198,0.004061267
AAPL,-0.000239846,12215.46269,818436,126.745,-0.016923745,126.37325,125.8329,126.221325,-0.006908108,0.000841592,-1.64E-05
AAPL,0.000111796,12337.45588,838947,123.73,0.006950618,124.1955,125.2245,125.99275,0.000448889,-0.00844084,-0.006484302
AAPL,0.000118565,13931.73913,961290,126.37,0.007517607,125.60425,124.7425,125.214375,0.014989541,0.020122252,0.002462377
AAPL,-0.000130666,12477.25758,823499,126.47,-0.008697715,127.068,127.2506,125.569775,-0.010356659,-0.011944148,0.003616316
